id	x	y	status	Site	Desert
584	44.161	30.332	Dead	Burned	Sonora
585	38.771	31.567	Dead	Burned	Sonora
586	37.292	28.509	Dead	Burned	Sonora
587	37.181	22.574	Dead	Burned	Sonora
588	28.276	24.802	Dead	Burned	Sonora
589	18.148	26.027	Dead	Burned	Sonora
590	15.098	24.448	Dead	Burned	Sonora
591	14.075	27.578	Dead	Burned	Sonora
592	11.808	29.129	Dead	Burned	Sonora
593	9.677	32.469	Dead	Burned	Sonora
594	7.426	32.172	Dead	Burned	Sonora
595	3.421	32.623	Dead	Burned	Sonora
596	1.842	33.601	Dead	Burned	Sonora
597	0.130	28.079	Dead	Burned	Sonora
598	1.095	23.835	Dead	Burned	Sonora
599	4.017	22.079	Dead	Burned	Sonora
600	0.045	18.859	Dead	Burned	Sonora
601	2.358	12.542	Dead	Burned	Sonora
602	4.043	11.999	Dead	Burned	Sonora
603	3.812	14.287	Dead	Burned	Sonora
604	5.232	13.926	Dead	Burned	Sonora
605	4.571	16.438	Dead	Burned	Sonora
